Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Ant Design Pro","https://pro.ant.design/index-cn","../pro.ant.design\index-cn.html","HTML","3602","Fri, 10 Aug 2018 02:13:14 GMT","200 OK","0",""
"Saved","","https://gw.alipayobjects.com/zos/rmsportal/IOtlElCiWVIOZqgDslYd.png","../gw.alipayobjects.com\zos\rmsportal\IOtlElCiWVIOZqgDslYd.png","Images","6716","Wed, 25 Oct 2017 03:20:54 GMT","200 OK","1","https://pro.ant.design/index-cn"
"Parsed","","https://pro.ant.design/index.css","../pro.ant.design\index.css","HTML","656894","Fri, 10 Aug 2018 02:13:14 GMT","200 OK","1","https://pro.ant.design/index-cn"
"Parsed","","https://as.alipayobjects.com/g/component/es6-promise/3.2.2/es6-promise.min.js","../as.alipayobjects.com\g\component\es6-promise\3.2.2\es6-promise.min.js","HTML","5753","Wed, 29 Jun 2016 10:33:38 GMT","200 OK","1","https://pro.ant.design/index-cn"
"Parsed","","https://pro.ant.design/common.js","../pro.ant.design\common.js","HTML","4205","Fri, 10 Aug 2018 02:13:14 GMT","200 OK","1","https://pro.ant.design/index-cn"
"Parsed","","https://pro.ant.design/index.js","../pro.ant.design\index.js","HTML","2834806","Fri, 10 Aug 2018 02:13:14 GMT","200 OK","1","https://pro.ant.design/index-cn"
"Saved","","https://at.alicdn.com/t/font_148784_v4ggb6wrjmkotj4i.eot","../at.alicdn.com\t\font_148784_v4ggb6wrjmkotj4i.eot","Unknown","70508","Sun, 11 Feb 2018 08:48:37 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://at.alicdn.com/t/font_148784_v4ggb6wrjmkotj4i.woff","../at.alicdn.com\t\font_148784_v4ggb6wrjmkotj4i.woff","Unknown","37320","Sun, 11 Feb 2018 08:48:37 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://at.alicdn.com/t/font_148784_v4ggb6wrjmkotj4i.ttf","../at.alicdn.com\t\font_148784_v4ggb6wrjmkotj4i.ttf","Unknown","70344","Sun, 11 Feb 2018 08:48:37 GMT","200 OK","2","https://pro.ant.design/index.css"
"Parsed","","https://at.alicdn.com/t/font_148784_v4ggb6wrjmkotj4i.svg","../at.alicdn.com\t\font_148784_v4ggb6wrjmkotj4i.svg","HTML","266315","Sun, 11 Feb 2018 08:48:37 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://os.alipayobjects.com/rmsportal/NOAjOBbnYCrNzrW.jpg","../os.alipayobjects.com\rmsportal\NOAjOBbnYCrNzrW.jpg","Images","105124","Wed, 27 Apr 2016 02:12:13 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://gw.alipayobjects.com/zos/rmsportal/OtZslpOjYXijshDERXwc.svg","../gw.alipayobjects.com\zos\rmsportal\OtZslpOjYXijshDERXwc.svg","Images","2103","Mon, 23 Oct 2017 16:19:56 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://gw.alipayobjects.com/zos/rmsportal/DlHbxMCyeuyOrqOdbgik.svg","../gw.alipayobjects.com\zos\rmsportal\DlHbxMCyeuyOrqOdbgik.svg","Images","2918","Mon, 23 Oct 2017 16:19:56 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://gw.alipayobjects.com/zos/rmsportal/aaYmtdDyHSCkXyLZVgGK.svg","../gw.alipayobjects.com\zos\rmsportal\aaYmtdDyHSCkXyLZVgGK.svg","Images","724","Wed, 27 Dec 2017 07:26:35 GMT","200 OK","2","https://pro.ant.design/index.css"
"Saved","","https://t.alipayobjects.com/images/rmsweb/T1B9hfXcdvXXXXXXXX.svg","../t.alipayobjects.com\images\rmsweb\T1B9hfXcdvXXXXXXXX.svg","Images","2788","Sat, 16 May 2015 12:24:02 GMT","200 OK","2","https://pro.ant.design/index.css"
